nm,phyto_mixA,Cryptophyta_L,Cryptophyta_H,Diatoms,Dinoflagellates,Green_algae
300,0,NA,NA,NA,NA,NA
301,7.770000000000005e-6,NA,NA,NA,NA,NA
302,3.090000000000002e-5,NA,NA,NA,NA,NA
303,6.910000000000004e-5,NA,NA,NA,NA,NA
304,1.22e-4,NA,NA,NA,NA,NA
305,1.9e-4,NA,NA,NA,NA,NA
306,2.72e-4,NA,NA,NA,NA,NA
307,3.67e-4,NA,NA,NA,NA,NA
308,4.7700000000000005e-4,NA,NA,NA,NA,NA
309,6e-4,NA,NA,NA,NA,NA
310,7.36e-4,NA,NA,NA,NA,NA
311,8.85e-4,NA,NA,NA,NA,NA
312,0.001046,NA,NA,NA,NA,NA
313,0.0012200000000000002,NA,NA,NA,NA,NA
314,0.001406,NA,NA,NA,NA,NA
315,0.001604,NA,NA,NA,NA,NA
316,0.001813,NA,NA,NA,NA,NA
317,0.002033,NA,NA,NA,NA,NA
318,0.0022640000000000004,NA,NA,NA,NA,NA
319,0.002506,NA,NA,NA,NA,NA
320,0.0027580000000000005,NA,NA,NA,NA,NA
321,0.0030210000000000002,NA,NA,NA,NA,NA
322,0.003293,NA,NA,NA,NA,NA
323,0.003575,NA,NA,NA,NA,NA
324,0.003866,NA,NA,NA,NA,NA
325,0.0041660000000000004,NA,NA,NA,NA,NA
326,0.004474,NA,NA,NA,NA,NA
327,0.004792,NA,NA,NA,NA,NA
328,0.005117,NA,NA,NA,NA,NA
329,0.00545,NA,NA,NA,NA,NA
330,0.005791,NA,NA,NA,NA,NA
331,0.006139,NA,NA,NA,NA,NA
332,0.006494,NA,NA,NA,NA,NA
333,0.006856,NA,NA,NA,NA,NA
334,0.007225,NA,NA,NA,NA,NA
335,0.007599,NA,NA,NA,NA,NA
336,0.007980000000000001,NA,NA,NA,NA,NA
337,0.008366,NA,NA,NA,NA,NA
338,0.008757999999999998,NA,NA,NA,NA,NA
339,0.009154999999999998,NA,NA,NA,NA,NA
340,0.009556,NA,NA,NA,NA,NA
341,0.009962999999999998,NA,NA,NA,NA,NA
342,0.010373,NA,NA,NA,NA,NA
343,0.010787999999999999,NA,NA,NA,NA,NA
344,0.011206,NA,NA,NA,NA,NA
345,0.011626999999999998,NA,NA,NA,NA,NA
346,0.012052,NA,NA,NA,NA,NA
347,0.01248,NA,NA,NA,NA,NA
348,0.01291,NA,NA,NA,NA,NA
349,0.013343,NA,NA,NA,NA,NA
350,0.013778,NA,NA,NA,NA,NA
351,0.014214000000000001,NA,NA,NA,NA,NA
352,0.014652,NA,NA,NA,NA,NA
353,0.015092,NA,NA,NA,NA,NA
354,0.015532,NA,NA,NA,NA,NA
355,0.015973,NA,NA,NA,NA,NA
356,0.016414,NA,NA,NA,NA,NA
357,0.016855000000000002,NA,NA,NA,NA,NA
358,0.017297,NA,NA,NA,NA,NA
359,0.017738,NA,NA,NA,NA,NA
360,0.018178000000000003,NA,NA,NA,NA,NA
361,0.018617,NA,NA,NA,NA,NA
362,0.019055000000000002,NA,NA,NA,NA,NA
363,0.019491,NA,NA,NA,NA,NA
364,0.019926,NA,NA,NA,NA,NA
365,0.020358000000000005,NA,NA,NA,NA,NA
366,0.020789,NA,NA,NA,NA,NA
367,0.021216,NA,NA,NA,NA,NA
368,0.021641,NA,NA,NA,NA,NA
369,0.022062,NA,NA,NA,NA,NA
370,0.02248,NA,NA,NA,NA,NA
371,0.022893999999999998,NA,NA,NA,NA,NA
372,0.023304000000000002,NA,NA,NA,NA,NA
373,0.02371,NA,NA,NA,NA,NA
374,0.024111,NA,NA,NA,NA,NA
375,0.024508000000000002,NA,NA,NA,NA,NA
376,0.024898999999999998,NA,NA,NA,NA,NA
377,0.025285000000000002,NA,NA,NA,NA,NA
378,0.025665000000000004,NA,NA,NA,NA,NA
379,0.026039,NA,NA,NA,NA,NA
380,0.026407000000000003,0.016613692,0.0142044,0.016728881999999997,NA,0.013991
381,0.026768000000000004,0.017283141,0.014546400000000001,0.017332442,NA,0.014484
382,0.027122999999999998,0.017981561000000004,0.014877000000000001,0.01795543600000001,NA,0.014992
383,0.02747,0.018709929,0.015219,0.018598022000000002,NA,0.015516
384,0.027809999999999998,0.019467964000000004,0.0155496,0.019258778,NA,0.016055000000000003
