aop_siteyear,aq_site,aop_yr,flightdate,radiance_time,chlorophyll a,DOC,pheophytin,TSS,UV Absorbance (250 nm),UV Absorbance (280 nm),wavelength,reflectance
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,381,0
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,386,0.0576
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,391,0.0427
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,396,0.0372
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,401,0.0338
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,406,0.0317
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,411,0.0327
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,416,0.0309
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,421,0.0301
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,426,0.0302
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,431,0.0295
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,436,0.0326
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,441,0.0304
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,446,0.0306
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,451,0.0296
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,456,0.0296
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,461,0.0301
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,466,0.0293
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,471,0.028
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,476,0.0292
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,481,0.0288
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,486,0.0289
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,491,0.0296
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,496,0.0294
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,501,0.029
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,506,0.0316
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,511,0.0329
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,516,0.0351
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,522,0.0379
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,527,0.0401
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,532,0.0438
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,537,0.0457
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,542,0.0473
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,547,0.0477
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,552,0.0482
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,557,0.05
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,562,0.0498
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,567,0.0466
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,572,0.0463
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,577,0.0452
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,582,0.0445
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,587,0.0438
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,592,0.0425
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,597,0.0422
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,602,0.0425
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,607,0.0428
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,612,0.0418
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,617,0.0418
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,622,0.0413
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,627,0.0414
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,632,0.0414
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,637,0.041
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,642,0.0407
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,647,0.0401
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,652,0.0397
ARIK2017,ARIK,2017,2017-05-25,2017-05-25T16:47:17Z,0.22,5.915,13.44,0,0.2127,0.1443,657,0.0377
