wl,absorb_m1,backs_m1
300,0.038200000000000005,0.0087
301,0.03715,0.008575
302,0.0361,0.00845
303,0.0351,0.00835
304,0.0341,0.00825
305,0.0332,0.008125
306,0.0323,0.008
307,0.0314,0.0079
308,0.0305,0.0078
309,0.02965,0.0077
310,0.0288,0.0076
311,0.027999999999999997,0.0075
312,0.0272,0.0074
313,0.02645,0.0073
314,0.0257,0.0072
315,0.02495,0.0071
316,0.0242,0.007
317,0.0235,0.006925000000000001
318,0.0228,0.00685
319,0.02215,0.00675
320,0.0215,0.00665
321,0.0209,0.006574999999999999
322,0.0203,0.0065
323,0.019700000000000002,0.0063999999999999994
324,0.019100000000000002,0.0063
325,0.018550000000000004,0.006225
326,0.018000000000000002,0.00615
327,0.0175,0.0060750000000000005
328,0.017,0.006
329,0.0165,0.005925
330,0.016,0.00585
331,0.015550000000000001,0.005775000000000001
332,0.0151,0.0057
333,0.01465,0.0056500000000000005
334,0.0142,0.0056
335,0.0138,0.005525
336,0.0134,0.00545
337,0.013049999999999999,0.005375
338,0.0127,0.0053
339,0.0123,0.0052499999999999995
340,0.0119,0.0052
341,0.0116,0.005124999999999999
342,0.0113,0.00505
343,0.011,0.005
344,0.0107,0.00495
345,0.0104,0.004875
346,0.0101,0.0048
347,0.009850000000000001,0.00475
348,0.009600000000000001,0.0047
349,0.00935,0.00465
350,0.0091,0.0046
351,0.00885,0.00455
352,0.0086,0.0045
353,0.008400000000000001,0.00445
354,0.0082,0.0044
355,0.008,0.00435
356,0.0078,0.0043
357,0.00765,0.00425
358,0.0075,0.0042
359,0.0073,0.00415
360,0.0071,0.0041
361,0.007,0.00405
362,0.0069,0.004
363,0.006750000000000001,0.00395
364,0.006600000000000001,0.0039
365,0.006500000000000001,0.00385
366,0.0063999999999999994,0.0038
367,0.0063,0.0037749999999999997
368,0.006200000000000001,0.00375
369,0.0061,0.0037
370,0.006,0.00365
371,0.0059,0.0036
372,0.0058,0.00355
373,0.00575,0.0035250000000000004
374,0.0057,0.0035
375,0.0056500000000000005,0.00345
376,0.0056,0.0034
377,0.00555,0.003375
378,0.0055000000000000005,0.00335
379,0.00545,0.0033
380,0.005399999999999999,0.00325
381,0.005399999999999999,0.003225
382,0.005399999999999999,0.0032
383,0.00535,0.003175
384,0.0053,0.00315
385,0.0053,0.0031000000000000003
386,0.0053,0.00305
