lambda_nm,absorption_cm1,absorption_m1,temp_m1C1,scattering_m1
400,5.8e-5,0.0058,"NA",0.0053
402,5.9e-5,0.0059,8.9999999999999998E-4,0.0052
404,6.1e-5,0.0060999999999999995,1.4E-3,0.0051
406,6.3e-5,0.0063,1.4E-3,0.005
408,6.5e-5,0.0065,1.6000000000000001E-3,0.0049
410,6.7e-5,0.0067,1.5E-3,0.0048
412,6.9e-5,0.0069,1.5E-3,0.0047
414,7.2e-5,0.0072,1.2999999999999999E-3,0.0046
416,7.4e-5,0.0073999999999999995,1.5E-3,0.0045
418,7.6e-5,0.007600000000000001,1.4E-3,0.0044
420,7.9e-5,0.007899999999999999,1.5E-3,0.0043
422,8.2e-5,0.0082,1.4E-3,0.0042
424,8.4e-5,0.0084,1.5E-3,0.0042
426,8.7e-5,0.0087,1.5E-3,0.0041
428,8.9e-5,0.0089,1.5E-3,0.004
430,9.2e-5,0.0092,1.4E-3,0.0039
432,9.4e-5,0.009399999999999999,1.2999999999999999E-3,0.0038
434,9.7e-5,0.0097,1.4E-3,0.0038
436,9.9e-5,0.009899999999999999,1.2999999999999999E-3,0.0037
438,1.02e-4,0.0102,1.6000000000000001E-3,0.0036
440,1.04e-4,0.0104,1.4E-3,0.0036
442,1.06e-4,0.0106,1.4E-3,0.0035
444,1.08e-4,0.010799999999999999,1.2999999999999999E-3,0.0034
446,1.1e-4,0.011000000000000001,1.6000000000000001E-3,0.0034
448,1.12e-4,0.0112,1.2999999999999999E-3,0.0033
450,1.14e-4,0.0114,1.6000000000000001E-3,0.0033
452,1.16e-4,0.0116,1.4E-3,0.0032
454,1.18e-4,0.0118,1.4E-3,0.0031
456,1.2e-4,0.012,1.4E-3,0.0031
458,1.22e-4,0.012199999999999999,1.1999999999999999E-3,0.003
460,1.24e-4,0.012400000000000001,1.4E-3,0.003
462,1.26e-4,0.0126,1.4E-3,0.0029
464,1.28e-4,0.012799999999999999,1.2999999999999999E-3,0.0029
466,1.3e-4,0.013,1.2999999999999999E-3,0.0028
468,1.33e-4,0.013300000000000001,1.4E-3,0.0028
470,1.35e-4,0.0135,1.4E-3,0.0027
472,1.38e-4,0.0138,1.2999999999999999E-3,0.0027
474,1.41e-4,0.014100000000000001,1.2999999999999999E-3,0.0026
476,1.44e-4,0.0144,1.2999999999999999E-3,0.0026
478,1.48e-4,0.014799999999999999,1.4E-3,0.0025
480,1.52e-4,0.015200000000000002,1.4E-3,0.0025
482,1.57e-4,0.0157,1.2999999999999999E-3,0.0024
484,1.62e-4,0.0162,1.4E-3,0.0024
486,1.67e-4,0.0167,1.2999999999999999E-3,0.0024
488,1.74e-4,0.0174,1.2999999999999999E-3,0.0023
490,1.81e-4,0.0181,1.2999999999999999E-3,0.0023
492,1.89e-4,0.0189,1.2999999999999999E-3,0.0022
494,1.98e-4,0.019799999999999998,1.4E-3,0.0022
